LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
????,13951012,20170101,366,3002324,5579995190,1879,1863,1849,1900,1900,1908
????,13951011,20161231,324,2800068,5302985352,1908,1891,1882,1930,1930,1925
????,13951008,20161228,381,7459855,14361684346,1925,1916,1910,1943,1937,1926
????,13951007,20161227,457,4757913,9153439455,1926,1916,1901,1960,1950,1957
????,13951006,20161226,390,4141171,8103033845,1957,1949,1944,1989,1945,1956
????,13951005,20161225,353,3754180,7303171546,1956,1940,1929,1986,1986,1986
????,13951004,20161224,297,2376247,4698768205,1986,1970,1970,2027,2000,1993
????,13951001,20161221,305,3071970,6145711549,1993,2014,1960,2014,1970,1981
????,13950930,20161220,584,7499696,14859100122,1981,1988,1958,1995,1985,2006
????,13950929,20161219,1054,17255604,34607575625,2006,2000,1991,2049,2030,2046
????,13950928,20161218,710,10001923,20468550996,2046,2075,2020,2075,2034,2078
????,13950924,20161214,518,103706921,2.15509E+11,2078,2050,2015,2080,2021,2050
????,13950923,20161213,615,7539298,15457441428,2050,2040,2022,2087,2085,2101
????,13950922,20161212,505,16882095,35470636332,2101,2087,2070,2140,2111,2107
????,13950921,20161211,497,6641763,13991107649,2107,2111,2098,2139,2139,2154
????,13950920,20161210,759,10065707,21679084134,2154,2127,2118,2190,2150,2159
????,13950917,20161207,1689,24878977,53712213826,2159,2180,2083,2191,2106,2120
????,13950916,20161206,1975,34022067,72138394666,2120,2111,2050,2138,2050,2037
????,13950915,20161205,565,7762431,15814122021,2037,2040,2021,2059,2025,2024
????,13950914,20161204,584,6620231,13397477342,2024,2020,2000,2049,2019,2030
????,13950913,20161203,1251,16056615,32599126428,2030,2010,1997,2070,2060,2101
????,13950909,20161129,1374,17885731,37574347965,2101,2104,2066,2130,2095,2097
????,13950907,20161127,861,10185809,21362147562,2097,2100,2077,2110,2109,2105
????,13950906,20161126,2248,45070377,94888008660,2105,2098,2089,2129,2100,2029
????,13950903,20161123,599,4889441,9920109050,2029,2011,2010,2050,2042,2051
????,13950902,20161122,675,8274861,16975301132,2051,2021,2020,2090,2053,2039
????,13950901,20161121,552,5710301,11644084688,2039,2038,2015,2071,2065,2028
????,13950829,20161119,1122,21287250,43180792235,2028,2002,1952,2103,1961,2003
????,13950826,20161116,861,7819364,15665312970,2003,1974,1974,2029,1982,1997
????,13950825,20161115,2161,28270174,56458475940,1997,1988,1971,2079,2070,2074
????,13950824,20161114,2035,32873181,68179957226,2074,2059,2047,2098,2059,2093
????,13950823,20161113,5347,133679156,2.79746E+11,2093,2050,2027,2125,2125,2024
????,13950822,20161112,810,34966488,70772171712,2024,2024,2024,2024,2024,1928
????,13950819,20161109,3331,68016560,1.31164E+11,1928,1980,1843,1996,1843,1940
????,13950818,20161108,1290,23031770,44680749524,1940,1916,1910,1980,1968,1916
????,13950817,20161107,2041,57943507,1.11041E+11,1916,1920,1860,1937,1860,1845
????,13950816,20161106,408,5569722,10278661743,1845,1841,1830,1858,1835,1861
????,13950815,20161105,855,11497397,21392978319,1861,1850,1830,1888,1870,1815
????,13950812,20161102,581,9112786,16537132147,1815,1838,1758,1839,1794,1775
????,13950811,20161101,478,7991465,14187498743,1775,1780,1756,1822,1762,1805
????,13950810,20161031,568,7728298,13948820490,1805,1772,1751,1850,1818,1830
????,13950809,20161030,767,10447142,19121056690,1830,1840,1810,1869,1867,1842
????,13950808,20161029,1548,53116584,97840128526,1842,1842,1840,1842,1842,1755
????,13950805,20161026,0,0,0,1755,1761,0,0,0,1755
????,13950804,20161025,0,0,0,1755,1761,0,0,0,1755
????,13950803,20161024,0,0,0,1755,1761,0,0,0,1755
????,13950802,20161023,0,0,0,1755,1761,0,0,0,1755
????,13950801,20161022,0,0,0,1755,1761,0,0,0,1755
????,13950728,20161019,0,0,0,1755,1761,0,0,0,1755
????,13950727,20161018,190,2645518,4652706655,1755,1761,1736,1766,1754,1751
????,13950726,20161017,285,3406103,5983572265,1751,1764,1741,1765,1741,1743
????,13950725,20161016,283,3789831,6602702690,1743,1741,1720,1755,1726,1745
????,13950724,20161015,374,5954345,10392113976,1745,1740,1713,1762,1740,1736
????,13950721,20161012,0,0,0,1736,1740,0,0,0,1736
????,13950719,20161010,319,5008246,8708925528,1736,1740,1722,1753,1750,1724
????,13950718,20161009,744,15393395,26541680182,1724,1740,1698,1750,1698,1682
????,13950717,20161008,356,5677197,9553935320,1682,1704,1655,1704,1658,1668
????,13950714,20161005,175,2525095,4202802785,1668,1658,1656,1677,1659,1671
????,13950713,20161004,190,2405037,4010473039,1671,1680,1658,1689,1689,1674
????,13950712,20161003,251,3250304,5405570927,1674,1663,1659,1684,1684,1686
????,13950711,20161002,267,3863261,6488783907,1686,1678,1675,1696,1696,1698
????,13950710,20161001,563,9190124,15607463133,1698,1698,1675,1716,1687,1670
????,13950707,20160928,304,4719019,7881327341,1670,1663,1660,1680,1662,1669
????,13950706,20160927,544,11625003,19405988772,1669,1668,1655,1682,1660,1651
