LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
فارس,13951012,20170101,27,131523,591710693,4593,4520,4483,4560,4505,4599
فارس,13951011,20161231,69,374058,1740885228,4599,4520,4471,4695,4658,4588
فارس,13951008,20161228,883,24662155,1.13159E+11,4588,4680,4390,4680,4580,4600
فارس,13951007,20161227,46,178936,814788170,4600,4564,4522,4565,4522,4604
فارس,13951006,20161226,98,848289,3913284657,4604,4511,4501,4699,4679,4598
فارس,13951005,20161225,29,112232,511286184,4598,4510,4510,4597,4578,4600
فارس,13951004,20161224,65,289624,1318055006,4600,4600,4539,4600,4549,4608
فارس,13951001,20161221,47,283935,1301875707,4608,4512,4501,4614,4578,4611
فارس,13950930,20161220,30,143181,644768016,4611,4502,4466,4582,4466,4619
فارس,13950929,20161219,52,148411,675333912,4619,4560,4510,4590,4510,4624
فارس,13950928,20161218,34,70099,319281374,4624,4551,4534,4600,4537,4626
فارس,13950924,20161214,72,284879,1308871623,4626,4616,4570,4616,4600,4631
فارس,13950923,20161213,65,433990,2020932670,4631,4660,4556,4680,4585,4624
فارس,13950922,20161212,95,1021001,4762272446,4624,4585,4571,4691,4600,4589
فارس,13950921,20161211,56,360129,1646943528,4589,4600,4521,4600,4521,4592
فارس,13950920,20161210,159,2201737,10109278526,4592,4595,4510,4699,4690,4600
فارس,13950917,20161207,128,813897,3801618916,4600,4600,4588,4700,4700,4557
فارس,13950916,20161206,57,261781,1205826939,4557,4546,4520,4629,4520,4550
فارس,13950915,20161205,305,6145775,27964952389,4550,4608,4530,4608,4600,4646
فارس,13950914,20161204,61,266701,1214369292,4646,4550,4539,4648,4540,4659
فارس,13950913,20161203,349,4571561,21297329452,4659,4550,4521,4700,4700,4657
فارس,13950909,20161129,672,15403461,71735587563,4657,4667,4500,4667,4560,4445
فارس,13950907,20161127,323,3996450,17766076950,4445,4515,4390,4595,4419,4397
فارس,13950906,20161126,173,5521578,24276496715,4397,4400,4305,4409,4409,4369
فارس,13950903,20161123,93,342771,1487422758,4369,4300,4300,4375,4375,4375
فارس,13950902,20161122,126,609552,2643970430,4375,4321,4300,4370,4365,4389
فارس,13950901,20161121,213,3080825,13520618932,4389,4380,4360,4475,4389,4389
فارس,13950829,20161119,302,3465793,15212078584,4389,4331,4331,4491,4491,4528
فارس,13950826,20161116,55,205781,922057145,4528,4490,4446,4500,4500,4533
فارس,13950825,20161115,94,349910,1569499060,4533,4479,4420,4538,4538,4542
فارس,13950824,20161114,88,223845,1003985320,4542,4504,4431,4539,4539,4549
فارس,13950823,20161113,252,931425,4133819882,4549,4430,4415,4590,4590,4635
فارس,13950822,20161112,221,1967931,9110435212,4635,4501,4497,4720,4720,4699
فارس,13950819,20161109,110,650175,3007456100,4699,4590,4530,4733,4614,4733
فارس,13950818,20161108,59,77859,360550125,4733,4625,4613,4730,4730,4737
فارس,13950817,20161107,187,1089763,5098333477,4737,4565,4565,4790,4784,4804
فارس,13950816,20161106,100,358592,1682977774,4804,4660,4626,4826,4765,4827
فارس,13950815,20161105,174,585925,2752880080,4827,4685,4683,4877,4877,4879
فارس,13950812,20161102,112,482209,2310955153,4879,4799,4780,4893,4783,4906
فارس,13950811,20161101,97,343101,1638939320,4906,4790,4734,4802,4802,4932
فارس,13950810,20161031,120,374778,1812818317,4932,4888,4795,5000,5000,4953
فارس,13950809,20161030,91,498309,2455274627,4953,4895,4895,5039,4950,4962
فارس,13950808,20161029,157,1676547,8339679570,4962,4950,4800,5080,4800,4905
فارس,13950805,20161026,92,203712,991464970,4905,4880,4850,4960,4900,4909
فارس,13950804,20161025,110,203381,996261925,4909,4900,4880,4918,4900,4910
فارس,13950803,20161024,111,700385,3438568796,4910,5000,4881,5000,4900,4866
فارس,13950802,20161023,0,0,0,4866,5110,0,0,0,4866
فارس,13950801,20161022,0,0,0,5166,5110,0,0,0,5166
فارس,13950728,20161019,0,0,0,5166,5110,0,0,0,5166
فارس,13950727,20161018,0,0,0,5166,5110,0,0,0,5166
فارس,13950726,20161017,111,199029,1014661029,5166,5110,5011,5149,5140,5174
فارس,13950725,20161016,44,74660,383572596,5174,5085,5085,5160,5160,5175
فارس,13950724,20161015,139,2904970,15032549222,5175,5165,5070,5177,5140,5166
فارس,13950721,20161012,0,0,0,5166,5168,0,0,0,5166
فارس,13950719,20161010,95,978756,5061919063,5166,5168,5106,5180,5175,5160
فارس,13950718,20161009,93,863321,4464824953,5160,5169,5110,5180,5148,5150
فارس,13950717,20161008,81,716185,3671369686,5150,5150,5050,5180,5099,5164
فارس,13950714,20161005,36,166967,843404652,5164,5035,5033,5071,5071,5175
فارس,13950713,20161004,204,3591476,18584217788,5175,4962,4908,5194,5001,5151
فارس,13950712,20161003,38,177025,894107160,5151,5040,5040,5100,5100,5161
فارس,13950711,20161002,38,235552,1191670785,5161,5080,5049,5115,5100,5175
فارس,13950710,20161001,15,34387,174807509,5175,5072,5051,5125,5052,5177
فارس,13950707,20160928,50,146119,741330596,5177,5100,5062,5180,5180,5185
فارس,13950706,20160927,192,4053646,21018732216,5185,5129,5032,5194,5099,5134
فارس,13950705,20160926,225,4591340,23571595206,5134,5070,5002,5147,5078,5078
فارس,13950704,20160925,422,7576265,38473104988,5078,5099,4980,5099,4980,4982
فارس,13950703,20160924,197,4452309,22180203474,4982,5005,4817,5005,4817,4930
فارس,13950631,20160921,363,7020284,34608191215,4930,4939,4813,5000,4850,4895
فارس,13950629,20160919,199,3879287,18989997974,4895,4850,4800,4919,4870,4865
فارس,13950628,20160918,47,10293567,50077997940,4865,4900,4790,4900,4850,4863
