LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
?????,13951012,20170101,622,9231106,12451696707,1349,1346,1340,1360,1360,1361
?????,13951011,20161231,507,8745289,11904268966,1361,1358,1352,1377,1360,1372
?????,13951008,20161228,707,12129871,16640196105,1372,1365,1362,1382,1380,1385
?????,13951007,20161227,849,16364490,22662537045,1385,1381,1377,1409,1407,1399
?????,13951006,20161226,1021,21928570,30671548643,1399,1410,1386,1411,1390,1382
?????,13951005,20161225,635,10173483,14059996569,1382,1382,1377,1398,1391,1398
?????,13951004,20161224,424,5281105,7378431819,1398,1385,1385,1404,1398,1400
?????,13951001,20161221,389,6186715,8664566802,1400,1411,1382,1419,1382,1395
?????,13950930,20161220,830,14249311,19873122646,1395,1402,1384,1413,1400,1406
?????,13950929,20161219,569,9331849,13115992114,1406,1419,1391,1429,1428,1426
?????,13950928,20161218,841,13992421,19954117372,1426,1410,1404,1448,1408,1418
?????,13950924,20161214,993,24915880,35320768868,1418,1420,1382,1438,1390,1399
?????,13950923,20161213,477,6710011,9385225752,1399,1397,1390,1410,1390,1403
?????,13950922,20161212,828,12652333,17747230233,1403,1397,1385,1424,1400,1391
?????,13950921,20161211,849,12830063,17850939274,1391,1394,1378,1400,1396,1411
?????,13950920,20161210,1347,19231114,27142627528,1411,1400,1399,1441,1441,1448
?????,13950917,20161207,3344,70418126,1.01971E+11,1448,1444,1410,1470,1414,1439
?????,13950916,20161206,6651,162692651,2.34136E+11,1439,1412,1385,1456,1400,1387
?????,13950915,20161205,3962,85008765,1.17887E+11,1387,1390,1358,1402,1365,1347
?????,13950914,20161204,1273,27511836,37049070513,1347,1345,1324,1360,1331,1323
?????,13950913,20161203,851,12130998,16053341954,1323,1331,1310,1348,1327,1337
?????,13950909,20161129,996,16611761,22214970170,1337,1360,1307,1360,1307,1318
?????,13950907,20161127,368,7232114,9525353310,1318,1320,1310,1330,1329,1330
?????,13950906,20161126,692,12294168,16357042917,1330,1312,1310,1350,1320,1313
?????,13950903,20161123,569,8720436,11447761679,1313,1305,1304,1321,1319,1314
?????,13950902,20161122,526,7933064,10422311879,1314,1320,1309,1329,1311,1309
?????,13950901,20161121,382,4714095,6185849751,1309,1309,1300,1332,1320,1304
?????,13950829,20161119,782,12719442,16589660753,1304,1328,1281,1333,1300,1302
?????,13950826,20161116,727,12604097,16414909384,1302,1291,1291,1325,1310,1321
?????,13950825,20161115,694,11654804,15394378620,1321,1316,1311,1357,1342,1343
?????,13950824,20161114,1221,23887201,32089107087,1343,1340,1331,1359,1344,1356
?????,13950823,20161113,1338,22493564,30508897372,1356,1350,1332,1380,1380,1369
?????,13950822,20161112,5421,159801816,2.18734E+11,1369,1370,1352,1370,1369,1305
?????,13950819,20161109,2152,48545271,63349443788,1305,1340,1288,1350,1296,1355
?????,13950818,20161108,2172,51644605,69972615530,1355,1369,1330,1376,1339,1319
?????,13950817,20161107,1104,16951393,22356986388,1319,1332,1295,1339,1295,1282
?????,13950816,20161106,537,7336643,9402653702,1282,1297,1268,1297,1280,1282
?????,13950815,20161105,595,6840888,8761907127,1282,1278,1270,1300,1283,1294
?????,13950812,20161102,540,6781734,8776130217,1294,1292,1285,1302,1290,1295
?????,13950811,20161101,1192,21123121,27359035289,1295,1270,1269,1315,1308,1299
?????,13950810,20161031,1489,26623243,34583636094,1299,1300,1286,1329,1306,1310
?????,13950809,20161030,1332,16473448,21579350607,1310,1310,1301,1339,1339,1359
?????,13950808,20161029,2882,47184271,64119185431,1359,1331,1326,1371,1326,1306
?????,13950805,20161026,3568,83347900,1.0886E+11,1306,1316,1250,1316,1253,1254
?????,13950804,20161025,1585,28328055,35528248617,1254,1254,1228,1280,1228,1221
?????,13950803,20161024,588,9380587,11455781214,1221,1214,1211,1238,1233,1233
?????,13950802,20161023,506,7257243,8938661228,1233,1223,1212,1244,1244,1242
?????,13950801,20161022,749,8764455,10885453538,1242,1239,1227,1250,1240,1223
?????,13950728,20161019,1165,18894200,23100335936,1223,1229,1210,1238,1220,1211
?????,13950727,20161018,588,9484745,11487501751,1211,1200,1200,1230,1230,1221
?????,13950726,20161017,546,26259852,32053926471,1221,1230,1210,1230,1230,1218
?????,13950725,20161016,384,6427343,7806620939,1218,1210,1210,1240,1221,1231
?????,13950724,20161015,616,7919203,9750944523,1231,1231,1219,1246,1230,1219
?????,13950721,20161012,0,0,0,1219,1220,0,0,0,1219
?????,13950719,20161010,379,4682229,5708076705,1219,1220,1210,1230,1220,1220
?????,13950718,20161009,786,10204486,12452653900,1220,1222,1192,1235,1192,1193
?????,13950717,20161008,396,3542811,4237630954,1193,1195,1186,1205,1186,1191
?????,13950714,20161005,690,7236619,8609918421,1191,1184,1181,1209,1200,1197
?????,13950713,20161004,607,7824366,9366464814,1197,1195,1192,1207,1192,1194
?????,13950712,20161003,950,11797840,14082167273,1194,1186,1182,1216,1201,1212
?????,13950711,20161002,578,7191190,8695156237,1212,1201,1199,1239,1236,1240
?????,13950710,20161001,522,4871618,6034242811,1240,1228,1220,1251,1247,1242
?????,13950707,20160928,794,8603062,10689073337,1242,1225,1218,1260,1230,1222
?????,13950706,20160927,1143,17237913,21065262450,1222,1231,1193,1241,1199,1191
?????,13950705,20160926,388,4962365,5899840726,1191,1193,1185,1194,1186,1195
?????,13950704,20160925,624,6641359,7933661140,1195,1184,1184,1207,1202,1196
?????,13950703,20160924,572,6439227,7730282144,1196,1201,1190,1207,1190,1183
?????,13950631,20160921,448,4834792,5729125990,1183,1188,1180,1196,1185,1181
?????,13950629,20160919,274,2619738,3096623355,1181,1182,1174,1191,1174,1180
?????,13950628,20160918,649,11182391,13199026733,1180,1175,1175,1195,1181,1188
?????,13950627,20160917,324,3951666,4671336062,1188,1185,1180,1199,1182,1194
?????,13950624,20160914,420,6708450,7999853109,1194,1190,1180,1210,1181,1198
?????,13950623,20160913,251,3438521,4101052188,1198,1185,1185,1204,1193,1201
