LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
????,13951012,20170101,304,3331542,8974218020,2698,2690,2670,2736,2736,2736
????,13951011,20161231,374,7572688,20720455598,2736,2710,2705,2785,2760,2720
????,13951008,20161228,336,2196532,6006910845,2720,2717,2700,2779,2700,2699
????,13951007,20161227,417,4089444,11038365041,2699,2700,2681,2740,2710,2729
????,13951006,20161226,221,1437483,3917386804,2729,2711,2710,2760,2760,2732
????,13951005,20161225,257,1683120,4592292947,2732,2720,2716,2794,2794,2735
????,13951004,20161224,227,1997552,5486214029,2735,2739,2720,2800,2720,2722
????,13951001,20161221,346,3130949,8528517717,2722,2725,2685,2788,2700,2705
????,13950930,20161220,435,3560055,9630707872,2705,2720,2684,2740,2735,2758
????,13950929,20161219,309,2776589,7628376470,2758,2748,2720,2810,2770,2796
????,13950928,20161218,278,1596606,4421081521,2796,2762,2755,2830,2774,2818
????,13950924,20161214,557,4392801,12378020465,2818,2804,2800,2860,2860,2897
????,13950923,20161213,752,4991624,14462819380,2897,2840,2836,2963,2940,2916
????,13950922,20161212,1075,10621023,30974371133,2916,2890,2875,2964,2900,2843
????,13950921,20161211,743,6197146,17619901034,2843,2857,2816,2889,2847,2806
????,13950920,20161210,609,5311116,14905460230,2806,2798,2779,2849,2785,2744
????,13950917,20161207,687,6755952,18536583571,2744,2770,2718,2783,2750,2771
????,13950916,20161206,453,3581722,9927465276,2771,2740,2735,2818,2750,2759
????,13950915,20161205,499,4608434,12714888143,2759,2749,2739,2830,2760,2829
????,13950914,20161204,659,5824536,16479517803,2829,2819,2790,2866,2866,2862
????,13950913,20161203,2036,40452258,1.15758E+11,2862,2855,2810,2869,2869,2733
????,13950909,20161129,309,2695742,7380624755,2733,2730,2720,2780,2750,2717
????,13950907,20161127,559,5191224,14104201976,2717,2708,2700,2781,2717,2762
????,13950906,20161126,454,4354722,12026986779,2762,2725,2720,2837,2837,2838
????,13950903,20161123,547,4277710,12140790735,2838,2850,2795,2860,2858,2835
????,13950902,20161122,863,8010423,22706208120,2835,2832,2793,2874,2801,2773
????,13950901,20161121,361,1942858,5409544103,2773,2770,2740,2840,2791,2760
????,13950829,20161119,238,1253461,3429517603,2760,2760,2706,2790,2790,2773
????,13950826,20161116,575,7120526,19747189197,2773,2730,2717,2869,2799,2803
????,13950825,20161115,666,6751923,18923027143,2803,2770,2755,2850,2850,2773
????,13950824,20161114,772,9632052,26705118436,2773,2781,2680,2781,2680,2649
????,13950823,20161113,411,2470247,6581868834,2649,2678,2620,2687,2620,2619
????,13950822,20161112,582,4515481,11824674432,2619,2620,2594,2700,2700,2634
????,13950819,20161109,1115,15063727,39678405048,2634,2680,2619,2720,2620,2756
????,13950818,20161108,434,5549894,15295578470,2756,2759,2722,2779,2779,2755
????,13950817,20161107,548,5984379,16484518969,2755,2750,2721,2790,2751,2726
????,13950816,20161106,720,5871388,16007104988,2726,2710,2700,2785,2730,2736
